$ npm run lint -- --format=compact | grep no-unused-vars
/home/kalvis/git/@kobo/kpi/jsapp/js/account/accountFieldsEditor.component.tsx: line 101, col 53, Warning - 'e' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/account/organization/MemberRemoveModal.tsx: line 93, col 22, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/account/plans/confirmChangeModal.component.tsx: line 15, col 9, Warning - 'ChangePlanStatus' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/account/usage/usage.component.tsx: line 4, col 47, Warning - 'OneTimeAddOn' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/account/usage/yourPlan.component.tsx: line 10, col 3, Warning - 'PlanNames' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/account/usage/yourPlan.component.tsx: line 11, col 3, Warning - 'Product' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 190, col 11, Warning - 'navigation' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 193, col 11, Warning - 'auth' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 199, col 11, Warning - 'survey' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 200, col 11, Warning - 'search' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 201, col 11, Warning - 'resources' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 219, col 11, Warning - 'hooks' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 220, col 11, Warning - 'misc' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 223, col 11, Warning - 'reports' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 227, col 11, Warning - 'table' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 230, col 11, Warning - 'map' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 231, col 11, Warning - 'permissions' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 240, col 11, Warning - 'help' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 245, col 11, Warning - 'library' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 246, col 11, Warning - 'submissions' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 256, col 11, Warning - 'media' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 257, col 11, Warning - 'exports' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.d.ts: line 260, col 11, Warning - 'dataShare' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.es6: line 183, col 60, Warning - 'redeployment' is defined but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.es6: line 528, col 37, Warning - 'response' is defined but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.es6: line 531, col 34, Warning - 'response' is defined but never used. (no-unused-vars)
/home/kalvis/git/@kobo/kpi/jsapp/js/actions.es6: line 574, col 40, Warning - 'response' is defined but never used. (no-unused-vars)
